e,norm,nbkg,flat,fbkg,nder,nsec
6560.7234,1.3524503,1.2895144,1.3528631,1.2899272,-7.19E-02,-2.03E-02
6561.0423,1.3280551,1.254829,1.3284867,1.2552606,-7.42E-02,4.67E-03
6561.3974,1.3024615,1.2193653,1.302914,1.2198178,-6.88E-02,1.09E-02
6561.7997,1.2759438,1.183037,1.2764199,1.1835132,-6.59E-02,8.49E-03
6562.2021,1.2494356,1.1505743,1.2499353,1.1510741,-6.20E-02,8.48E-03
6562.6045,1.2260757,1.1217552,1.226599,1.1222785,-5.91E-02,3.65E-03
6562.9924,1.2027482,1.0972158,1.2032943,1.0977619,-5.91E-02,5.13E-03
6563.3623,1.1813041,1.0766007,1.1818717,1.0771683,-5.52E-02,1.03E-02
6563.7104,1.1631233,1.0595175,1.1637113,1.0601055,-5.17E-02,9.66E-03
6564.0296,1.1468246,1.045708,1.1474313,1.0463146,-4.87E-02,1.34E-02
6564.3379,1.132539,1.0339421,1.1331636,1.0345667,-4.33E-02,2.52E-02
6564.6571,1.11966,1.0232814,1.1203032,1.0239246,-3.29E-02,3.11E-02
6565.0127,1.1103082,1.0130954,1.1109722,1.0137593,-2.23E-02,2.29E-02
6565.4118,1.1028185,1.0035944,1.1035056,1.0042815,-1.57E-02,1.38E-02
6565.8146,1.0977182,0.99586585,1.0984287,0.99657639,-1.13E-02,1.00E-02
6566.2138,1.0937696,0.98982978,1.0945033,0.99056349,-7.68E-03,1.02E-02
6566.6095,1.0916114,0.98522744,1.092368,0.98598407,-3.15E-03,1.02E-02
6566.9761,1.0913708,0.98200289,1.0921487,0.98278075,8.22E-05,1.22E-02
6567.3283,1.0916705,0.97968684,1.0924687,0.98048506,5.61E-03,1.69E-02
6567.6478,1.095137,0.97812033,1.0959537,0.97893701,1.15E-02,1.22E-02
6567.9601,1.0989114,0.97697001,1.0997461,0.97780472,1.33E-02,5.44E-03
6568.2797,1.1035554,0.97607266,1.1044085,0.97692579,1.49E-02,5.69E-03
6568.6321,1.108921,0.97527825,1.1097944,0.97615168,1.71E-02,2.64E-03
6569.0317,1.1164491,0.97445787,1.1173455,0.97535429,1.69E-02,-1.60E-03
6569.4349,1.1224751,0.97365847,1.1233947,0.97457806,1.59E-02,3.67E-04
6569.8383,1.1292469,0.97288693,1.1301896,0.97382968,1.72E-02,-1.42E-04
6570.2344,1.1362082,0.97215613,1.1371737,0.97312159,1.58E-02,-4.81E-03
6570.6051,1.1413266,0.97149609,1.1423133,0.97248279,1.35E-02,-4.47E-03
6570.9577,1.1459642,0.97088956,1.146971,0.97189642,1.25E-02,-2.63E-03
6571.2812,1.149791,0.97035101,1.1508163,0.97137637,1.17E-02,-7.48E-03
6571.5902,1.1533723,0.96985257,1.1544153,0.97089558,7.79E-03,-1.50E-02
6571.9102,1.1546908,0.96935276,1.155752,0.97041402,2.27E-03,-1.29E-02
6572.2629,1.1549017,0.96882078,1.1559831,0.96990214,-8.89E-04,-9.60E-03
6572.6594,1.1540244,0.96824645,1.1551283,0.96935038,-4.92E-03,-1.03E-02
6573.0631,1.1509648,0.96768681,1.1520916,0.9688137,-9.17E-03,-7.13E-03
6573.4669,1.1466223,0.96715233,1.1477721,0.96830215,-1.07E-02,-5.35E-03
6573.8598,1.1424581,0.96665615,1.1436302,0.96782826,-1.34E-02,-8.67E-03
6574.231,1.1363597,0.96620889,1.1375528,0.96740204,-1.73E-02,-9.14E-03
6574.584,1.1299317,0.96580259,1.1311448,0.96701571,-2.01E-02,-1.27E-02
6574.9042,1.1228601,0.96544985,1.1240913,0.96668108,-2.58E-02,-1.32E-02
6575.2173,1.1135823,0.96511957,1.1148312,0.96636849,-2.84E-02,-4.93E-03
6575.5376,1.1048702,0.96479623,1.1061371,0.96606323,-2.89E-02,-9.25E-04
6575.8835,1.0943047,0.96446361,1.0955912,0.96575011,-2.90E-02,3.28E-03
6576.284,1.0832107,0.96409953,1.0845197,0.96540859,-2.65E-02,1.88E-03
6576.6882,1.0729891,0.96375479,1.0743209,0.96508658,-2.75E-02,-4.35E-03
6577.0925,1.0609753,0.96343247,1.0623298,0.96478698,-3.00E-02,-4.51E-03
6577.4858,1.049053,0.9631401,1.0504296,0.96451669,-3.11E-02,-3.70E-03
6577.8574,1.0371831,0.96288296,1.0385805,0.96428037,-3.28E-02,-4.66E-03
6578.2145,1.0251283,0.96265304,1.0265457,0.96407045,-3.45E-02,-4.93E-03
6578.5388,1.0136769,0.96245862,1.0151124,0.96389416,-3.62E-02,-3.73E-03
6578.8485,1.0021777,0.96228556,1.0036306,0.96373841,-3.69E-02,3.81E-03
6579.1692,0.99043475,0.96211924,0.99190549,0.96359,-3.38E-02,1.05E-02
6579.5191,0.97951374,0.96195253,0.98100399,0.96344281,-2.98E-02,8.13E-03
6579.9201,0.96802381,0.96178016,0.9695364,0.96329277,-2.77E-02,2.22E-03
6580.3284,0.95710089,0.96162482,0.9586362,0.96316015,-2.81E-02,2.62E-03
6580.7332,0.94521717,0.96149063,0.94677497,0.96304846,-2.56E-02,5.53E-03
6581.1307,0.93659037,0.96137772,0.93817024,0.9629576,-2.36E-02,-1.18E-03
6581.5027,0.92704727,0.96128871,0.92864777,0.96288922,-2.65E-02,-2.66E-03
6581.8565,0.91737672,0.96121879,0.91899681,0.96283889,-2.55E-02,1.85E-03
6582.1811,0.909716,0.96116708,0.91135405,0.96280514,-2.52E-02,-1.29E-03
6582.4949,0.90127913,0.96112827,0.90293452,0.96278368,-2.64E-02,3.32E-03
6582.8123,0.8930725,0.96110002,0.89474542,0.96277296,-2.31E-02,1.29E-02
6583.1627,0.88584041,0.96108152,0.88753265,0.96277378,-1.78E-02,9.43E-03
6583.5604,0.87977347,0.9610764,0.88148763,0.96279058,-1.61E-02,3.49E-03
6583.9656,0.8729425,0.96108825,0.87467895,0.96282472,-1.50E-02,2.40E-03
6584.3671,0.86769116,0.96111667,0.86944968,0.96287522,-1.41E-02,3.34E-03
6584.7614,0.86169846,0.96116045,0.86347863,0.96294063,-1.23E-02,4.09E-03
6585.1375,0.85820273,0.96121657,0.86000352,0.96301738,-1.10E-02,8.70E-04
6585.4954,0.85363994,0.96128278,0.85546033,0.96310319,-1.17E-02,-1.10E-03
6585.8205,0.8502277,0.96135354,0.85206587,0.96319174,-1.17E-02,3.64E-03
6586.1309,0.84618535,0.96143043,0.8480405,0.96328559,-9.36E-03,7.53E-03
6586.4487,0.84434407,0.96151838,0.84621657,0.9633909,-7.00E-03,5.21E-03
6586.7958,0.84152992,0.96162495,0.84342135,0.9635164,-5.90E-03,3.61E-03
6587.1941,0.83994616,0.96176052,0.84185929,0.96367366,-4.31E-03,4.34E-03
6587.5997,0.83806239,0.96191288,0.83999759,0.9638481,-2.41E-03,3.41E-03
6588.0053,0.8379914,0.96207937,0.83994865,0.96403664,-1.55E-03,-4.21E-04
6588.4038,0.83681645,0.9622563,0.83879533,0.9642352,-2.75E-03,1.11E-03
6588.7803,0.83586211,0.96243547,0.83786141,0.96443479,-6.91E-04,1.97E-03
6589.1386,0.83630885,0.96261652,0.83832755,0.96463524,-1.30E-03,-1.44E-03
6589.4677,0.83497008,0.96279168,0.83700658,0.9648282,-1.68E-03,5.96E-03
6589.7785,0.83523466,0.96296477,0.83728796,0.96501809,2.52E-03,6.05E-03
6590.1003,0.83656204,0.96315167,0.83863272,0.96522236,2.15E-03,-2.73E-03
6590.4478,0.83667204,0.96336203,0.83876146,0.96545147,6.86E-04,-2.40E-04
6590.8465,0.83707401,0.96361416,0.83918491,0.96572507,1.97E-03,1.22E-03
6591.2526,0.83825606,0.96388243,0.8403888,0.96601519,1.67E-03,-7.70E-04
6591.6587,0.83843035,0.96416202,0.84058492,0.9663166,1.34E-03,1.71E-03
6592.0576,0.83933668,0.96444727,0.84151266,0.96662327,3.05E-03,3.76E-03
6592.7823,0.8418524,0.96499162,0.8440672,0.96720643,5.57E-03,2.27E-03
6594.1319,0.85088505,0.96608947,0.85317192,0.96837636,7.76E-03,1.01E-03
6596.058,0.86727133,0.96782609,0.86966052,0.9702153,8.88E-03,2.67E-04
6597.7851,0.88330978,0.96952805,0.88579019,0.97200847,8.73E-03,1.75E-04
6599.8856,0.90070529,0.97174585,0.90329596,0.97433655,9.55E-03,5.92E-04
6601.8213,0.92184396,0.97389773,0.92453559,0.97658939,1.11E-02,7.50E-04
6603.7345,0.94352509,0.9760917,0.94631589,0.97888252,1.24E-02,6.64E-04
6605.4813,0.96735023,0.97812481,0.97023103,0.98100563,1.36E-02,3.15E-04
6607.3996,0.9932071,0.98035962,0.99618615,0.98333869,1.36E-02,-4.07E-04
6609.1499,1.0172047,0.98237288,1.0202729,0.98544105,1.21E-02,-1.00E-03
6611.2413,1.0395411,0.98470976,1.042715,0.98788373,9.73E-03,-1.41E-03
6613.0212,1.0548901,0.98660882,1.0581535,0.98987224,6.61E-03,-1.77E-03
6614.9212,1.0638482,0.98851598,1.0672065,0.99187431,3.22E-03,-1.59E-03
6616.8991,1.0673752,0.9903624,1.0708316,0.99381888,4.59E-04,-1.38E-03
6618.7823,1.0656194,0.99199261,1.0691687,0.99554193,-2.10E-03,-1.20E-03
6620.5899,1.0596418,0.99344339,1.0632796,0.99708126,-3.97E-03,-8.30E-04
6622.482,1.0509392,0.99484605,1.0546691,0.99857602,-5.17E-03,-4.46E-04
6624.2887,1.0405308,0.99607803,1.0443481,0.99989539,-5.62E-03,4.09E-05
6626.3425,1.0292555,0.99735522,1.0331715,1.0012712,-5.01E-03,5.04E-04
6628.1873,1.0210038,0.9983944,1.0250078,1.0023984,-3.65E-03,8.94E-04
6630.045,1.0157367,0.99934102,1.0198288,1.0034331,-1.70E-03,9.03E-04
6632.0989,1.0143577,1.0002753,1.0185465,1.0044641,-1.19E-04,7.21E-04
6633.926,1.0152767,1.001011,1.0195509,1.0052852,1.10E-03,4.79E-04
6635.7986,1.0184186,1.0016753,1.0227797,1.0060365,1.65E-03,6.81E-05
6637.6286,1.0213971,1.0022402,1.0258426,1.0066858,1.35E-03,-2.75E-04
6639.5064,1.0234229,1.0027369,1.0279545,1.0072685,6.34E-04,-4.53E-04
6641.5168,1.0238617,1.0031793,1.0284847,1.0078024,-4.13E-04,-4.64E-04
6643.6202,1.021723,1.0035482,1.026441,1.0082662,-1.28E-03,-3.94E-04
6645.3959,1.0189133,1.0037885,1.0237109,1.0085861,-1.94E-03,-2.47E-04
6647.3267,1.0145289,1.0039795,1.0194124,1.008863,-2.19E-03,2.01E-05
6649.1074,1.0107786,1.0040942,1.0157407,1.0090564,-1.87E-03,1.70E-04
6651.0398,1.007599,1.0041555,1.012646,1.0092025,-1.56E-03,1.30E-04
6653.0172,1.0046716,1.0041542,1.0098047,1.0092873,-1.36E-03,1.37E-04
6654.9657,1.0022691,1.0040937,1.0074863,1.009311,-1.03E-03,1.85E-04
6656.7367,1.0008555,1.0039911,1.0061488,1.0092844,-6.69E-04,1.18E-04
6658.8685,0.99965856,1.0038118,1.0050426,1.0091959,-5.66E-04,-4.09E-05
6660.6318,0.99865135,1.003621,1.0041099,1.0090796,-8.28E-04,-2.73E-04
6662.6011,0.99656793,1.0033663,1.0021091,1.0089075,-1.59E-03,-4.12E-04
6664.3717,0.99272049,1.0031033,0.99833532,1.0087181,-2.37E-03,-3.63E-04
6666.3366,0.98771331,1.0027773,0.99340931,1.0084733,-2.94E-03,-2.67E-04
6668.297,0.98117589,1.0024204,0.98695223,1.0081967,-3.42E-03,-1.28E-04
6670.9757,0.97185506,1.0018889,0.97774012,1.007774,-3.54E-03,-3.71E-05
6673.655,0.96222698,1.0013163,0.96821959,1.007309,-3.62E-03,6.84E-05
6676.0203,0.95360784,1.0007851,0.95969439,1.0068717,-3.19E-03,3.38E-04
6678.8433,0.94566862,1.0001301,0.95186605,1.0063275,-1.86E-03,5.79E-04
6681.6888,0.94304414,0.9994583,0.94935198,1.0057662,9.00E-05,7.27E-04
6684.0875,0.94614053,0.99889229,0.95254038,1.0052922,1.95E-03,5.98E-04
6686.7111,0.95282975,0.99828285,0.95932914,1.0047823,3.09E-03,3.60E-04
6689.5546,0.96305374,0.99764454,0.96965969,1.0042505,3.91E-03,2.32E-04
6691.9929,0.97350684,0.99711964,0.98020309,1.0038159,4.32E-03,3.04E-05
6694.4069,0.98401662,0.9966201,0.99080129,1.0034048,4.06E-03,-1.16E-04
6697.2635,0.9949184,0.99605411,1.0018064,1.0029422,3.71E-03,-1.69E-04
6700.1114,1.0051687,0.99551622,1.0121584,1.002506,3.10E-03,-3.05E-04
6702.495,1.0111287,0.99508568,1.0182024,1.0021595,2.11E-03,-3.32E-04
6705.1693,1.0158578,0.99462337,1.0230247,1.0017903,1.42E-03,-2.12E-04
6708.0286,1.0189886,0.99415256,1.0262538,1.0014178,9.40E-04,-1.41E-04
6710.6191,1.0209831,0.99374633,1.0283362,1.0010994,6.54E-04,-1.02E-04
6713.2409,1.0223973,0.99335419,1.0298382,1.0007951,4.07E-04,-6.87E-05
6715.9302,1.0231429,0.9929712,1.0306726,1.0005009,2.89E-04,-3.09E-05
6718.5461,1.0239307,0.99261669,1.0315456,1.0002316,2.43E-04,-4.62E-05
6721.1423,1.0244076,0.99228182,1.0321059,0.9999802,4.81E-05,-1.08E-04
6723.8229,1.0241846,0.99195315,1.0319679,0.99973652,-3.30E-04,-1.81E-04
6726.4774,1.022649,0.99164415,1.0305153,0.99951048,-9.16E-04,-2.35E-04
6729.0604,1.0193871,0.99135858,1.0273329,0.9993045,-1.56E-03,-2.36E-04
6731.7236,1.0144714,0.9910791,1.0224982,0.99910591,-2.15E-03,-2.11E-04
6734.3989,1.0078962,0.990813,1.016003,0.99891985,-2.69E-03,-1.06E-04
6736.9954,1.0003047,0.99056813,1.008488,0.99875153,-2.71E-03,6.40E-05
6739.6498,0.99365383,0.9903308,1.0019143,0.99859128,-2.35E-03,1.52E-04
6742.5209,0.98731417,0.99008816,0.99565666,0.99843067,-1.87E-03,2.08E-04
6745.1545,0.98336158,0.98987775,0.99177811,0.9982943,-1.21E-03,2.42E-04
6747.7934,0.98095543,0.98967793,0.98944497,0.99816749,-5.93E-04,2.17E-04
6750.6632,0.98009253,0.98947239,0.98866014,0.99804002,-7.96E-06,1.89E-04
6753.3378,0.98091131,0.98929117,0.98955043,0.99793032,4.52E-04,1.05E-04
6755.9567,0.98248702,0.98912273,0.991195,0.99783073,5.46E-04,-1.14E-06
6758.6527,0.98381273,0.98895798,0.9925904,0.99773567,4.46E-04,-5.39E-05
6761.3554,0.98489641,0.98880095,0.9937427,0.99764726,2.55E-04,-7.63E-05
6763.9754,0.98517021,0.98865585,0.99408186,0.99756751,4.00E-05,-9.35E-05
6766.6593,0.98510849,0.98851381,0.99408589,0.99749123,-2.41E-04,-5.13E-05
6769.3875,0.98386686,0.9883756,0.99290985,0.99741861,-2.38E-04,-1.65E-05
6772.0261,0.98383169,0.98824717,0.99293694,0.99735244,-3.29E-04,-6.73E-05
6774.8897,0.98205521,0.9881129,0.99122669,0.9972844,-6.08E-04,-1.01E-05
6778.1794,0.98008827,0.98796417,0.98933414,0.99721005,-3.92E-04,8.49E-05
6781.6556,0.9794057,0.98781209,0.98872819,0.99713461,-3.38E-05,8.31E-05
6784.9544,0.97985946,0.98767132,0.98925279,0.99706467,1.71E-04,4.27E-05
6788.2353,0.98053141,0.98753347,0.98999338,0.99699546,2.47E-04,2.61E-05
6791.5239,0.98148122,0.98739623,0.99101017,0.9969252,3.42E-04,1.81E-05
6794.8162,0.98278402,0.98725862,0.99237821,0.99685283,3.66E-04,-2.16E-05
6798.3493,0.9839811,0.98711039,0.99364326,0.99677258,1.95E-04,-5.96E-05
6801.6702,0.98411834,0.98697073,0.99384249,0.9966949,-4.19E-05,-4.97E-05
6804.979,0.98370321,0.98683142,0.99348728,0.99661551,-1.35E-04,7.74E-06
6808.4845,0.98319903,0.98668388,0.99304456,0.99652944,1.08E-05,5.15E-05
6811.9938,0.98377897,0.98653643,0.99368396,0.99644145,2.26E-04,3.61E-05
6815.2996,0.98474106,0.98639796,0.99470017,0.99635709,2.57E-04,3.09E-06
6818.5986,0.98547563,0.98626035,0.99548693,0.99627166,2.47E-04,-1.99E-05
6821.9082,0.98637119,0.98612307,0.99643299,0.99618489,1.26E-04,-2.88E-05
6825.2421,0.98631059,0.98598574,0.9964214,0.99609657,5.51E-05,-5.62E-06
6828.766,0.98674881,0.98584183,0.99690939,0.99600244,8.71E-05,1.04E-05
6832.3033,0.98692571,0.98569887,0.99713416,0.99590735,1.28E-04,2.24E-05
6835.8436,0.98765727,0.98555752,0.99791151,0.99581179,2.46E-04,1.48E-05
6839.1992,0.9886204,0.98542534,0.99891611,0.99572107,2.31E-04,-1.77E-05
6842.5386,0.98920209,0.98529571,0.99953719,0.99563083,1.27E-04,-2.83E-05
6845.8826,0.98947016,0.985168,0.99984281,0.99554068,4.15E-05,-2.82E-05
6849.2553,0.98948114,0.98504152,0.99988977,0.99545017,-6.20E-05,-1.88E-05
6852.8316,0.9890395,0.98491015,0.99948419,0.99535486,-8.94E-05,1.44E-05
6856.2294,0.9888578,0.98478816,0.99933476,0.99526514,3.83E-05,6.07E-06
6859.6199,0.98929926,0.98466938,0.99980648,0.99517662,-4.82E-05,-1.62E-05
6863.2163,0.98852109,0.9845468,0.99905829,0.99508403,-7.46E-05,1.72E-05
6866.6214,0.98877702,0.9844342,0.99934061,0.99499781,7.25E-05,1.80E-05
6870.0159,0.98901405,0.98432549,0.999602,0.99491346,4.75E-05,-6.80E-06
6873.4129,0.9890995,0.98422042,0.9997099,0.99483084,2.63E-05,-2.98E-05
6876.8398,0.98919353,0.98411841,0.9998246,0.9947495,-1.56E-04,-4.84E-05
6880.4538,0.98800117,0.98401537,0.9986519,0.99466612,-3.15E-04,-2.12E-05
6883.8835,0.98697702,0.98392212,0.99764438,0.99458949,-3.06E-04,1.06E-06
6887.3025,0.98590876,0.98383373,0.99659073,0.99451572,-3.07E-04,-3.64E-06
